sup_tot,sup_cub,ambientes,dormitorios,expensas,precio,precio_moneda,ubicación,lat,lon,fecha,href,inm_tipo
81.0,79.0,3.0,2.0,0.0,800,U$S,"Bulnes Al 2700, Palermo",-34.5807284,-58.4059027,2021-10-18T14:21:53.000Z,https://departamento.mercadolibre.com.ar/MLA-1108559623-departamento-en-alquiler-en-palermo-_JM#position=18&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
32.0,29.0,1.0,,,40000,$,"Matienzo  1535, Belgrano",-34.5664259,-58.432632,2021-10-15T16:42:33.000Z,https://departamento.mercadolibre.com.ar/MLA-1108319994-alquiler-departamento-1-ambiente-con-patio-en-canitas-_JM#position=19&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
39.0,39.0,2.0,1.0,6000.0,36000,$,"Vicente Lopez  2200 1°, Recoleta",-34.5876961,-58.395893099999995,2021-10-18T17:59:10.000Z,https://departamento.mercadolibre.com.ar/MLA-1108641272-2-ambientes-en-alquiler-cocina-indep-exc-ubicacion-_JM#position=20&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
,90.0,4.0,3.0,18000.0,93000,$,"Belgrano, Calle Cuba, Belgrano",-34.562253600000005,-58.4535725,2021-10-18T18:07:24.000Z,https://departamento.mercadolibre.com.ar/MLA-1108654329-departamento-belgrano-_JM#position=21&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
55.0,45.0,2.0,1.0,6100.0,40000,$,"Julian Alvarez  2100 5°, Palermo",-34.588787100000005,-58.4183502,2021-10-19T00:30:07.000Z,https://departamento.mercadolibre.com.ar/MLA-1108671738-alquiler-2-amb-refaccionado-contrafrente-vista-abierta-_JM#position=22&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
77.0,77.0,3.0,2.0,18488.0,65000,$,"Avenida  Libertador  1080, Recoleta",-34.5864411,-58.387316399999996,2021-10-15T00:02:16.000Z,https://departamento.mercadolibre.com.ar/MLA-1108204319-tres-ambientes-av-del-libertador-1000-opcional-cochera-_JM#position=23&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
110.0,100.0,4.0,3.0,16500.0,70000,$,"Malabia Al 200, Villa Crespo",-34.600348499999996,-58.44178,2021-10-19T15:38:11.000Z,https://departamento.mercadolibre.com.ar/MLA-1108703445-departamento-villa-crespo-_JM#position=24&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
60.0,55.0,2.0,1.0,,50000,$,"Emilio Mitre 1112, Parque Chacabuco",-34.6336753,-58.43998249999999,2021-10-14T14:49:24.000Z,https://departamento.mercadolibre.com.ar/MLA-1108143848-departamento-2-ambientes-frente-a-parque-chacabuco-_JM#position=25&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
70.0,60.0,3.0,2.0,,55000,$,"Murguiondo 3200, Villa Lugano",-34.6681549,-58.487169200000004,2021-10-16T01:38:50.000Z,https://departamento.mercadolibre.com.ar/MLA-1108390529-departamento-3-ambientes-con-balcon-estrenar-_JM#position=26&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
61.0,61.0,3.0,2.0,7500.0,140000,U$S,"Donato Alvarez 936, Flores",-34.6153697,-58.458892500000005,2021-10-13T21:02:04.000Z,https://departamento.mercadolibre.com.ar/MLA-1108026865-venta-3-ambientes-frente-a-plaza-irlanda-seguridad-24hs-_JM#position=27&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
