"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"av. independencia 1300",-34.61799,-58.38464,0,1,4,,38000,"$",37,4,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--10467071",41,1,"argenprop"
"carranza al 2400",-34.57676,-58.4319,1,1,40,6500,49000,"$",42,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--10650195",45,2,"argenprop"
"magariños cervantes 2700, piso 6",-34.61246,-58.4778,0,1,5,4200,25000,"$",33,3,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-santa-rita-1-ambiente--10550563",36,1,"argenprop"
"joaquin v gonzalez 2000",,,1,1,,,42000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10586354",32,2,"argenprop"
"alfredo r bufano 2400, piso pb",-34.60492,-58.47764,1,1,57,3500,32000,"$",36,12,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10630498",48,2,"argenprop"
"coronel diaz 2300",-34.58558,-58.40725,3,1,55,31000,192000,"$",110,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--10688678",110,4,"argenprop"
"av f de olazabal 5500, piso 10",-34.57833,-58.4893,1,1,14,5500,45000,"$",40,5,"https://www.argenprop.com/departamento-en-alquiler-en-urquiza-r-2-ambientes--10680594",45,2,"argenprop"
"garcia del rio al 2500",-34.54853,-58.46867,0,1,8,4800,40000,"$",30,5,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--10478429",35,1,"argenprop"
"viel 664",-34.62497,-58.4315,2,1,50,2500,55000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--10713261",45,3,"argenprop"
"dr l belaustegui 1500, piso 4",,,2,1,35,5838,45000,"$",50,10,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--3598554",60,3,"argenprop"
"basualdo al 100",-34.64002,-58.50462,0,1,,,39000,"$",30,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-1-ambiente--10713435",33,1,"argenprop"
