"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"billinghurst al 200",-34.608,-58.41621,0,1,25,6100,23000,"$",32,3,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10489704",35,1,"argenprop"
"bernardo de irigoyen 700, piso 14",-34.61715,-58.38012,2,1,50,5700,42000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-3-ambientes--10680911",60,3,"argenprop"
"terrero 100, piso 7",,,2,1,30,9000,45000,"$",68,10,"https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--10232278",78,3,"argenprop"
"m zamudio 3800, piso 1",-34.58902,-58.49096,1,1,60,4500,33000,"$",48,4,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon--4134825",52,2,"argenprop"
"monte 4200",-34.64942,-58.47469,3,1,50,,90000,"$",100,90,"https://www.argenprop.com/casa-en-alquiler-en-floresta-4-ambientes--8217134",190,4,"argenprop"
"concordia 100",-34.63126,-58.47601,1,1,40,7500,26000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10492957",40,2,"argenprop"
"yerbal 2900, piso 6",,,1,1,50,3000,25000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10422326",35,2,"argenprop"
"av directorio 2600, piso 1",,,1,1,50,1200,33000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10610193",60,2,"argenprop"
"ayacucho al 200",-34.60982,-58.3926,0,1,35,5200,25000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10630418",37,1,"argenprop"
"ayacucho al 200",-34.60982,-58.3926,0,1,35,5200,25000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10630418",37,1,"argenprop"
"av. las heras y billinghurst",-34.58329,-58.40461,1,1,,4000,30000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-1-ambiente--10337155",34,2,"argenprop"
"av f chiclana 3100, piso 7",-34.6323,-58.40842,2,1,35,5600,35000,"$",55,5,"https://www.argenprop.com/departamento-en-alquiler-en-parque-patricios--5647683",60,3,"argenprop"
"av. nazca 2700, piso 3",-34.60395,-58.4879,1,1,10,4500,38000,"$",42,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--6514447",45,2,"argenprop"
"scalabrini ortiz 2100",-34.58744,-58.42002,1,1,20,5000,50000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10410131",42,2,"argenprop"
"bulnes 800",-34.60173,-58.41816,2,2,8,12000,69500,"$",78,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10342314",78,3,"argenprop"
"caldas al 100",-34.5853,-58.46738,1,1,2,,48000,"$",40,5,"https://www.argenprop.com/ph-en-alquiler-en-chacarita-2-ambientes--10699009",45,2,"argenprop"
"pasaje hinojo 4700",,,2,1,,,45000,"$",60,0,"https://www.argenprop.com/ph-en-alquiler-en-floresta-3-ambientes--10704418",60,3,"argenprop"
"riobamba 900",-34.5981,-58.39431,0,1,42,,23000,"$",27,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--10704416",27,1,"argenprop"
"mansilla al 3400",-34.59175,-58.4135,0,1,25,7000,35000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--10480304",40,1,"argenprop"
"mansilla al 3400",-34.59175,-58.4135,0,1,25,7000,35000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10470957",40,1,"argenprop"
"sanchez de loria 200, piso pb",-34.61332,-58.41324,2,1,50,,52000,"$",65,15,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10061221",80,3,"argenprop"
"av. san juan 2200, piso 5",-34.6233,-58.39736,3,2,50,13500,59000,"$",74,7,"https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-4-ambientes--10078523",81,4,"argenprop"
"montevideo 100",-34.6072,-58.38917,0,1,,,23000,"$",25,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-1-ambiente--10657268",25,1,"argenprop"
"dr j f aranguren 1200, piso 14",-34.61744,-58.44997,1,1,40,7000,23000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10563308",38,2,"argenprop"
"mercedes 500, piso pb",-34.62782,-58.48573,2,1,15,,60000,"$",65,0,"https://www.argenprop.com/ph-en-alquiler-en-floresta-3-ambientes--4570501",65,3,"argenprop"
"guise 1900",-34.59012,-58.41246,1,1,35,6500,38000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-2-ambientes--10704343",50,2,"argenprop"
"av a alvarez jonte 4800, piso 1",-34.62016,-58.50634,1,1,,3000,34500,"$",58,6,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--10682965",64,2,"argenprop"
"av a alvarez jonte 4800, piso 1",-34.62016,-58.50634,1,1,,3000,34500,"$",58,6,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--10682868",64,2,"argenprop"
"av. luis maría campos 200, piso 9",-34.57425,-58.43211,2,1,40,9500,45000,"$",52,3,"https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--4996197",55,3,"argenprop"
"callao al 1500",-34.59124,-58.39152,3,1,60,35000,220000,"$",134,8,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--10578296",142,4,"argenprop"
"cochabamba 800, piso 3",-34.62355,-58.37686,0,1,80,3200,28000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-1-ambiente--10704318",30,1,"argenprop"
"ramon falcon 6600, piso 3",-34.6404,-58.51983,1,1,,5000,33000,"$",46,0,"https://www.argenprop.com/departamento-en-alquiler-en-liniers-2-ambientes--10704298",46,2,"argenprop"
"amenabar 3000, piso 3",-34.55521,-58.46532,1,1,45,7,35000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--9858387",42,2,"argenprop"
"avenida corrientes  2100, piso 2",-34.60442,-58.39753,1,1,40,5435,37000,"$",40,15,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-2-ambientes--10704253",55,2,"argenprop"
"crisologo larralde 3300, piso 1",-34.55351,-58.47623,1,1,10,4200,55000,"$",60,35,"https://www.argenprop.com/departamento-en-alquiler-en-saavedra-2-ambientes--10704242",95,2,"argenprop"
"callao al 1500",-34.59124,-58.39152,3,2,60,33000,140000,"$",134,7,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--9869413",141,4,"argenprop"
"gral m de azcuenaga 1400, piso 6",-34.59216,-58.39865,0,,50,4000,25000,"$",27,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--10642794",27,1,"argenprop"
"cuba al 2400",-34.55772,-58.45754,1,1,12,9500,38000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--10648675",36,2,"argenprop"
"ciudad de la paz  1300",-34.56881,-58.45091,1,2,,11000,38000,"$",51,4,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10701085",55,2,"argenprop"
"cuba al 2400",-34.55772,-58.45754,1,1,12,9500,38000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--10642774",36,2,"argenprop"
"alvear  1800",-34.58778,-58.38887,1,2,57,,1500,"USD",108,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta--10265793",108,2,"argenprop"
"azcuenaga 1400, piso 1",-34.59185,-58.39844,2,1,65,9900,32000,"$",49,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--8913513",49,3,"argenprop"
"av lope de vega 2000, piso 1",-34.6212,-58.51572,0,1,7,5500,25000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-real-1-ambiente--10704001",32,1,"argenprop"
"french 2900",-34.58733,-58.40542,1,1,26,10000,42000,"$",45,22,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10704088",67,2,"argenprop"
"av. segurola  1600, piso p.b",-34.62073,-58.49909,1,1,80,,35000,"$",40,12,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--10704068",52,2,"argenprop"
"la pampa 5300, piso 4",-34.58102,-58.48251,2,1,40,6400,52000,"$",62,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-3-ambientes--10693046",67,3,"argenprop"
"murguiondo 1700",-34.655,-58.50317,1,1,40,2900,29000,"$",47,0,"https://www.argenprop.com/departamento-en-alquiler-en-mataderos-2-ambientes--10701607",47,2,"argenprop"
"av.cramer 2200",-34.56326,-58.46236,1,1,,12000,60000,"$",46,3,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10700931",49,2,"argenprop"
"carlos a lopez 3000, piso 5",-34.58644,-58.50484,2,2,5,10000,75000,"$",70,7,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-3-ambientes--6681930",77,3,"argenprop"
"mendez de andes 1900, piso 6",-34.62003,-58.46034,0,1,,4000,32000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--10529950",40,1,"argenprop"
"de los incas, avda. 4800",-34.58439,-58.47818,1,1,13,4000,48000,"$",43,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10610986",46,2,"argenprop"
"billinghurst 1600, piso 10",-34.59131,-58.41103,2,2,40,25000,64000,"$",76,17,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--7095084",93,3,"argenprop"
"gallo 1300",-34.59482,-58.41072,1,1,50,2300,40000,"$",46,6,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--9837423",52,2,"argenprop"
"av. santa fe 5200",-34.57631,-58.43294,0,1,4,4200,30000,"$",24,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10499907",24,1,"argenprop"
"guatemala 6000, piso 4",-34.5769,-58.43644,1,1,25,10000,42900,"$",44,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--10680482",48,2,"argenprop"
"arenales 2800",-34.59119,-58.40595,0,1,20,6180,27000,"$",27,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--10618761",27,1,"argenprop"
"olazabal 2200, piso 4",-34.55953,-58.45708,2,2,8,13000,65000,"$",58,10,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--10703941",68,3,"argenprop"
"josé mármol al 900",-34.62537,-58.4246,2,2,26,15000,58000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-boedo-3-ambientes--10703951",60,3,"argenprop"
"av almafuerte 800, piso 7",-34.64762,-58.41558,1,1,45,3500,23000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-pompeya--4508816",30,2,"argenprop"
"olleros 1700",,,2,2,40,23587,1300,"USD",109,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--10323824",109,3,"argenprop"
"paraguay 3200, piso 11",-34.59532,-58.41026,0,1,40,3900,26000,"$",25,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--5869220",28,1,"argenprop"
"tucuman 600, piso 3",-34.60128,-58.37619,1,,50,7000,25000,"$",30,3,"https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-2-ambientes--10542164",33,2,"argenprop"
"avenida coronel díaz 2300",-34.58511,-58.40729,3,2,35,30500,180000,"$",96,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--10703864",96,4,"argenprop"
"fragata sarmiento 28",-34.62285,-58.44823,1,1,12,6000,38000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10651358",34,2,"argenprop"
"humberto 1°  700",-34.62091,-58.37548,2,1,80,9000,50000,"$",77,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-4-ambientes--10336462",77,3,"argenprop"
"san josé de calasanz al 500",-34.62524,-58.43762,1,1,10,8578,45000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10628083",33,2,"argenprop"
"san jose de calasanz 600, piso 3",-34.62632,-58.43777,0,1,7,6200,31500,"$",34,3,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--10575630",37,1,"argenprop"
"mario bravo  1100, piso 8",-34.59639,-58.41523,2,1,25,12000,60000,"$",60,8,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--9158777",68,3,"argenprop"
"billinghurst 2100",-34.58691,-58.40684,2,1,38,11000,60000,"$",55,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10500304",55,3,"argenprop"
"sarmiento 900",-34.60495,-58.37976,4,2,,18000,60000,"$",150,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro-5-ambientes--10586638",150,5,"argenprop"
"olazabal 5100",-34.57644,-58.48615,1,1,30,5000,30000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10229533",42,2,"argenprop"
"altolaguirre al 2200",-34.57808,-58.48965,0,1,6,6000,38500,"$",33,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10690072",36,1,"argenprop"
"paraguay 1900",-34.59865,-58.39494,0,1,5,9000,35000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--7934670",35,1,"argenprop"
"h de lerma 100, piso 2",-34.59714,-58.42931,0,1,2,6700,35000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--7777918",32,1,"argenprop"
"h de lerma 100, piso 2",-34.59714,-58.42931,0,1,2,6700,35000,"$",32,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--10421970",32,1,"argenprop"
"solis 600, piso 20",-34.61611,-58.39045,0,1,48,3500,16800,"$",18.5,0,"https://www.argenprop.com/departamento-en-alquiler-en-congreso--5552103",18.5,1,"argenprop"
"gral m soler 6000, piso 5",-34.57788,-58.43656,1,1,3,,70000,"$",40,10,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10537942",50,2,"argenprop"
"fortin melincue 3200, piso pb",,,2,1,,5000,60000,"$",60,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-3-ambientes--9741030",60,3,"argenprop"
"fonrouge 1100",-34.64929,-58.503,2,,,,75000,"$",95,20,"https://www.argenprop.com/casa-en-alquiler-en-mataderos-3-ambientes--10703674",115,3,"argenprop"
"a nazarre 2800, piso 2",-34.59953,-58.49021,2,1,40,9000,60000,"$",63,7,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-3-ambientes--10322936",70,3,"argenprop"
"ambrosetti  426, piso 5º e",-34.61385,-58.43793,1,1,40,6000,32000,"$",47,3,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10703567",50,2,"argenprop"
"av gral e mosconi 3200",-34.5893,-58.50702,1,1,10,12000,50000,"$",57,8,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10703539",65,2,"argenprop"
"juan agustín garcía 5000, piso 6",-34.62399,-58.50327,1,1,5,5000,41000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--10600462",35,2,"argenprop"
"amenabar 3100",-34.5542,-58.46671,0,1,12,6000,33000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--10701050",30,1,"argenprop"
"consultar dirección , piso 4",-34.59575,-58.40976,2,2,15,17000,70000,"$",60,4,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--10541564",64,3,"argenprop"
"av independencia 1300, piso 4",-34.61799,-58.38464,0,1,3,12800,35000,"$",33,6,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--10688640",39,1,"argenprop"
"san martin 900",-34.59641,-58.37442,1,1,,,53000,"$",34,2,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-2-ambientes--10703336",36,2,"argenprop"
"pereyra lucena 2500",-34.58305,-58.40062,3,2,51,20000,87000,"$",89,8,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--10391189",97,4,"argenprop"
"cuenca  2400",-34.60739,-58.49014,1,,40,4991,30000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10630409",30,2,"argenprop"
"virrey cevallos 1100",,,0,1,,4400,19000,"$",23,0,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10469405",23,1,"argenprop"
"beruti al 2300",-34.59297,-58.3998,1,1,50,7500,22000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--8510068",35,2,"argenprop"
"arenales 1500",-34.5947,-58.38939,0,1,46,5500,30000,"USD",27,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--10703098",27,1,"argenprop"
"av. cordoba 1500",-34.59924,-58.38916,1,,,7000,22000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--10702765",35,2,"argenprop"
"carlos calvo 4200, piso 0",-34.6251,-58.42495,3,1,,,80000,"$",80,60,"https://www.argenprop.com/ph-en-alquiler-en-boedo-4-ambientes--10681869",140,4,"argenprop"
"boedo  1300, piso 5",-34.62877,-58.41575,1,1,45,3500,30000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-boedo-2-ambientes--10703054",38,2,"argenprop"
"av. independencia 2200, piso 12",-34.61836,-58.39822,1,1,50,4200,26000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--10703017",34,2,"argenprop"
"fitz roy 2300, piso 1",-34.57951,-58.43122,0,1,,3000,48000,"$",30,15,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--10538375",45,1,"argenprop"
"quesada 1700",-34.55106,-58.45673,2,2,11,44000,90000,"$",87,53,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--10703008",140,3,"argenprop"
"ayacucho 1500",-34.59167,-58.39368,0,1,61,5700,25000,"$",23,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--10702968",23,1,"argenprop"
"ramon l. falcon al 1600",-34.62648,-58.45253,3,1,45,9300,65000,"$",80,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--10318104",80,4,"argenprop"
"av dr n avellaneda 1100",-34.61785,-58.44734,1,1,,,40000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10702927",45,2,"argenprop"
"tucuman 1400",,,2,,,12000,35500,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-tribunales-3-ambientes--10554450",50,3,"argenprop"
"tucuman 1400",,,2,,,12000,35500,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-tribunales-3-ambientes--10554450",50,3,"argenprop"
"godoy cruz 2300, piso 7",-34.58195,-58.42805,1,1,,11000,57000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10265531",50,2,"argenprop"
"la pampa al 5000",-34.57954,-58.48006,1,1,6,,45000,"$",44,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10693940",49,2,"argenprop"
"peña 2200",-34.5913,-58.39666,1,1,,4000,35000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10702761",40,2,"argenprop"
"freire 500",-34.57783,-58.4472,3,1,80,,1e+05,"$",87,0,"https://www.argenprop.com/casa-en-alquiler-en-colegiales-4-ambientes--10700766",87,4,"argenprop"
"ortíz de ocampo 2600",-34.5822,-58.40423,2,2,20,33804,1800,"USD",107,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10620420",107,3,"argenprop"
"av. segurola 1400, piso 5",-34.62252,-58.49685,1,1,50,5000,30000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--7407315",40,2,"argenprop"
"charcas 4700",-34.58101,-58.42685,3,1,35,7000,45000,"$",60,5,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--10702305",65,4,"argenprop"
"san martin  900, piso 12",-34.59642,-58.37441,1,1,50,5000,34000,"$",37,3,"https://www.argenprop.com/departamento-en-alquiler-en-microcentro-2-ambientes--8838603",40,2,"argenprop"
"av. segurola  1500, piso p.b.",-34.62178,-58.49749,1,1,50,4500,30000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--6540870",38,2,"argenprop"
"gdero baigorria 2900, piso 1",-34.60287,-58.48943,1,1,40,2683,26900,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-paternal-2-ambientes--10332448",40,2,"argenprop"
"gdero baigorria 2900, piso 1",-34.60287,-58.48943,1,1,40,2683,26900,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--10332439",40,2,"argenprop"
"gascon  200",-34.60953,-58.42447,2,1,21,10000,55000,"$",58,2,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10702243",60,3,"argenprop"
"av. josé maría moreno 500",-34.62484,-58.43475,1,1,2,4500,55000,"$",47,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10692731",47,2,"argenprop"
"gdero baigorria 2900, piso 1",-34.60287,-58.48943,1,1,40,2683,26900,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-agronomia-2-ambientes--10332442",40,2,"argenprop"
"vuelta de obligado 3700, piso 8",-34.54762,-58.46774,2,1,40,18000,55000,"$",75,8,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--3550081",83,3,"argenprop"
"av f de olazabal 4700, piso 4",-34.5735,-58.48054,0,1,15,6000,33000,"USD",36,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10691386",39,1,"argenprop"
"gdero baigorria 2900, piso 1",-34.60287,-58.48943,1,1,40,2683,26900,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-2-ambientes--10332444",40,2,"argenprop"
"av. álvarez  thomas 2900, piso 3",-34.57325,-58.48118,0,1,40,4369,26500,"$",22,5,"https://www.argenprop.com/departamento-en-alquiler-en-coghlan-1-ambiente--10589895",27,1,"argenprop"
"av. álvarez  thomas 2900, piso 3",-34.57325,-58.48118,0,1,40,4369,26500,"$",22,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon-1-ambiente--10590050",27,1,"argenprop"
"av. álvarez  thomas 2900, piso 3",-34.57325,-58.48118,0,1,40,4369,26500,"$",22,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10589917",27,1,"argenprop"
"av. álvarez  thomas 2900, piso 3",-34.57325,-58.48118,0,1,40,4369,26500,"$",22,5,"https://www.argenprop.com/departamento-en-alquiler-en-parque-chas-1-ambiente--10589877",27,1,"argenprop"
"av. álvarez  thomas 2900, piso 3",-34.57325,-58.48118,0,1,40,4369,26500,"$",22,5,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--10589747",27,1,"argenprop"
"alvarez thomas 900, piso pb.",-34.579,-58.455,1,1,80,,35000,"$",45,7,"https://www.argenprop.com/ph-en-alquiler-en-colegiales-2-ambientes--10702044",52,2,"argenprop"
"darwin 800, piso 4",-34.59203,-58.44269,1,1,7,9400,48000,"$",47,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--4468271",50,2,"argenprop"
"adolfo alsina  2900",-34.60865,-58.40887,2,1,45,2800,32000,"$",51,8,"https://www.argenprop.com/departamento-en-alquiler-en-once-3-ambientes--10678642",59,3,"argenprop"
"mendoza 3000",-34.56479,-58.46399,1,1,,,600,"USD",47,6,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-2-ambientes--10629942",53,2,"argenprop"
"mendoza 5100, piso 1",-34.57717,-58.48403,1,1,12,6900,48000,"$",45,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--9497727",50,2,"argenprop"
"av b rivadavia 1800, piso 8",-34.60928,-58.39183,4,4,65,55000,145000,"$",344,27,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-5-ambientes--7265549",371,5,"argenprop"
"av cabildo 2800, piso 3",-34.55577,-58.46209,0,1,3,7100,32000,"$",36,4,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--5481197",40,1,"argenprop"
"pujol al 1300",-34.60708,-58.4531,1,1,24,8300,30000,"$",39,3,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10692616",42,2,"argenprop"
"ciudad de la paz 100",-34.57483,-58.43935,0,1,11,6000,42000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10575158",35,1,"argenprop"
"vidal 1900",,,0,1,,4000,26000,"$",25,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-1-ambiente--10702117",25,1,"argenprop"
"arenal, concepcion 2400",-34.5747,-58.43785,2,2,,,1800,"USD",77,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10680158",77,3,"argenprop"
"acevedo 600",-34.59603,-58.43797,1,2,9,11000,34000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10701907",35,2,"argenprop"
"ruy diaz de guzman  100, piso 3",-34.63173,-58.37127,2,1,,7000,45000,"$",51,4,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-3-ambientes--7933909",55,3,"argenprop"
"neuquen  al 1700",-34.61941,-58.452,2,1,,11500,62500,"$",70,6,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-3-ambientes--10690878",76,3,"argenprop"
"aguilar al 2400",-34.56927,-58.44722,0,1,7,6500,39000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--10688408",38,1,"argenprop"
"mendoza 3000",-34.56479,-58.46399,3,3,,,1900,"USD",150,14,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--10554069",164,4,"argenprop"
"arenales 1200, piso 7",,,0,1,45,6000,30000,"$",30,4,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--10701609",34,1,"argenprop"
"av patricios 100, piso 8",-34.63105,-58.37067,1,1,45,7000,27000,"$",34,3,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--10700890",37,2,"argenprop"
"avenida diaz velez 3800",-34.6081,-58.42052,1,,40,4500,32000,"$",42,0,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--10408016",42,2,"argenprop"
"g de helguera 4800",-34.58721,-58.50555,1,1,6,7500,45000,"$",46,6,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon--10701798",52,2,"argenprop"
"esmeralda 1300",-34.59177,-58.37799,3,,35,12000,80000,"$",80,17,"https://www.argenprop.com/departamento-en-alquiler-en-retiro-4-ambientes--10701070",97,4,"argenprop"
"m de cervantes 1800",-34.62238,-58.50845,3,3,30,6000,95000,"$",120,20,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-4-ambientes--10341258",140,4,"argenprop"
