"","ubicacion","lat","lon","precio_moneda","precio","ambientes","habitaciones","sup_des","sup_cub","fecha","expensas","href","tipo","fuente","sup_total"
"2143","Juana Manso 1100",-34.609722,-58.362807,"ARS",130000,2,1,,,2021-09-07,21500,"https://www.properati.com.ar/detalle/3ytel_alquiler_departamento_puerto-madero_balcon_baulera_suite_lavadero_vestidor_garage_amoblado_ciclovias-y-bicisendas-de-buenos-aires_cocina_cochera_comedor_calefaccion_am-ppropiedades-am-propiedades","depto","properati",
"2144","Arenales al 2800",-34.5921895713,-58.404974027,"ARS",65000,3,2,68,58,2021-09-07,13050,"https://www.properati.com.ar/detalle/3ytj1_alquiler_departamento_recoleta_balcon_lujoso_placard_aire-acondicionado_subte-linea-d_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_comedor_living-comedor_ascensor_calefaccion_alejandro-paitas-propiedades_hlvv","depto","properati",68
"2145","ibera al 2400",-34.5538914,-58.4655719,"ARS",34000,1,,30,30,2021-09-07,7000,"https://www.properati.com.ar/detalle/3ytlj_alquiler_departamento_nunez_balcon_gimnasio_parrilla_piscina_sum_lujoso_amenities_placard_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_ascensor_solarium_vigilancia_kerr-propiedades_hld8","depto","properati",30
"2146","Godory Cruz  al 2900",-34.5767911,-58.4235691,"USD",1500,3,2,110,100,2021-09-07,,"https://www.properati.com.ar/detalle/3ytni_alquiler_departamento_palermo-chico_balcon_gimnasio_lavadero_piscina_terraza_toilette_vestidor_garage_amoblado_amenities_placard_aire-acondicionado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_sol","depto","properati",110
"2147","Humboldt al 2000",-34.5825807305,-58.4317373434,"USD",3000,3,2,78,72,2021-09-07,24808,"https://www.properati.com.ar/detalle/3yto2_alquiler_departamento_palermo-hollywood_balcon_suite_gimnasio_parrilla_piscina_quincho_sum_vestidor_garage_amoblado_amenities_placard_aire-acondicionado_losa-radiante_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor","depto","properati",78
"2148","Av. Libertador al 1700",-34.5827367828,-58.3998404648,"USD",1500,3,2,122,122,2021-09-07,,"https://www.properati.com.ar/detalle/3ytoa_alquiler_departamento_palermo-chico_suite_lavadero_toilette_vestidor_garage_amoblado_aire-acondicionado_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_vigilancia_alejandro-paitas-propiedades_hlvv","depto","properati",122
"2149","Santa Fe al 1500",-34.5955434554,-58.3892724883,"USD",2100,4,3,185,140,2021-09-07,,"https://www.properati.com.ar/detalle/3ytpx_alquiler_departamento_recoleta_balcon_suite_patio_toilette_dependencias_amoblado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_ascensor_encargado_alejandro-paitas-propiedades_hlvv","depto","properati",185
"2150","O'Higgins al 1700",-34.563772,-58.4497125,"USD",2500,4,3,170,170,2021-09-07,33000,"https://www.properati.com.ar/detalle/3ytq5_alquiler_departamento_belgrano_balcon_baulera_suite_hidromasaje_lavadero_toilette_vestidor_lujoso_dependencias_garage_amoblado_placard_aire-acondicionado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_cochera_comedor_living-","depto","properati",170
"2151","Libertador al 3700",-34.5725454174,-58.4212581211,"USD",6500,6,4,400,380,2021-09-07,,"https://www.properati.com.ar/detalle/3ytsn_alquiler_departamento_palermo_balcon_suite_gimnasio_sum_toilette_vestidor_luminoso_lujoso_dependencias_electrogeno_garage_amoblado_amenities_placard_aire-acondicionado_losa-radiante_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_cochera_c","depto","properati",400
"2152","Oro al 2800",-34.5754948748,-58.4207917727,"USD",1700,3,2,90,80,2021-09-07,,"https://www.properati.com.ar/detalle/3ytst_alquiler_departamento_palermo_balcon_suite_gimnasio_lavadero_piscina_sum_toilette_sauna_garage_amoblado_aire-acondicionado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_vigilancia_alejandro-paitas-","depto","properati",90
"2153","Azucena Villaflor al 600",-34.6122751403,-58.359053236,"USD",10800,4,3,359,359,2021-09-07,90909,"https://www.properati.com.ar/detalle/3ytt0_alquiler_departamento_puerto-madero_baulera_suite_gimnasio_lavadero_piscina_toilette_vestidor_dependencias_garage_placard_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_vigilancia_alejandro-paitas-propiedades_hlv","depto","properati",359
"2154","Azucena Villaflor 600",-34.6122751403,-58.359053236,"USD",10800,4,3,359,359,2021-09-07,90909,"https://www.properati.com.ar/detalle/3yttl_alquiler_departamento_puerto-madero_baulera_suite_gimnasio_hidromasaje_lavadero_parrilla_piscina_toilette_vestidor_lujoso_dependencias_garage_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_cochera_comedor_living-comedor_vigilancia_alejand","depto","properati",359
"2155","Libertador al 5400",-34.5622409,-58.4427059,"USD",3600,4,3,160,160,2021-09-07,,"https://www.properati.com.ar/detalle/3ytu5_alquiler_departamento_belgrano_balcon_suite_gimnasio_hidromasaje_piscina_sum_toilette_vestidor_sauna_dependencias_electrogeno_garage_aire-acondicionado_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_ascensor_vigi","depto","properati",160
"2156","Nicaragua al 5500",-34.5820043385,-58.4331301571,"USD",2200,4,3,106,106,2021-09-07,25000,"https://www.properati.com.ar/detalle/3ytv7_alquiler_departamento_palermo-hollywood_balcon_baulera_suite_gimnasio_hidromasaje_parrilla_piscina_sum_toilette_garage_amenities_aire-acondicionado_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_vig","depto","properati",106
"2157","Gelly y Obes al 2200",-34.5867895731,-58.3971908423,"USD",1800,4,3,130,130,2021-09-07,33500,"https://www.properati.com.ar/detalle/3ytwf_alquiler_departamento_recoleta_suite_jardin_lavadero_luminoso_dependencias_placard_aire-acondicionado_cocina_hall_living_comedor_living-comedor_ascensor_encargado_vigilancia_calefaccion_alejandro-paitas-propiedades_hlvv","depto","properati",130
"2158","Caracas al 1200",-34.6160843,-58.4674896,"ARS",30000,1,,40,35,2021-09-07,7500,"https://www.properati.com.ar/detalle/3ytwn_alquiler_departamento_flores_balcon_gimnasio_hidromasaje_lavadero_parrilla_piscina_luminoso_amenities_placard_ciclovias-y-bicisendas-de-buenos-aires_cocina_solarium_lex-propiedades-sa_hlu5","depto","properati",40
"2159","Gorriti al 3900",-34.5955265,-58.4196474,"ARS",60000,2,1,,,2021-09-07,5000,"https://www.properati.com.ar/detalle/3ytwu_alquiler_departamento_palermo_garage_placard_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_vigilancia_spl-propiedades","depto","properati",
"2160","MENDOZA al 900",-34.5484228,-58.4636908,"USD",1800,4,3,138,127,2021-09-07,25000,"https://www.properati.com.ar/detalle/3ytx9_alquiler_departamento_belgrano_balcon_baulera_suite_jardin_lavadero_piscina_sum_toilette_luminoso_electrogeno_garage_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_ascensor_solarium_vigilancia_calef","depto","properati",138
"2161","SARMIENTO al 3700",-34.6053272,-58.4173926,"ARS",46000,3,2,73,70,2021-09-07,7000,"https://www.properati.com.ar/detalle/3ytxy_alquiler_departamento_almagro_balcon_lavadero_luminoso_placard_aire-acondicionado_subte-linea-b_subte-linea-a_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_comedor_living-comedor_garcia-duscio-negocios-inmobiliarios_hmbp","depto","properati",73
"2162","Libertador al 5400",-34.5622409,-58.4427059,"USD",3600,4,3,160,160,2021-09-07,,"https://www.properati.com.ar/detalle/3ytys_alquiler_departamento_belgrano_balcon_suite_gimnasio_hidromasaje_piscina_sum_toilette_vestidor_sauna_dependencias_electrogeno_garage_aire-acondicionado_ciclovias-y-bicisendas-de-buenos-aires_cocina_living_cochera_comedor_living-comedor_ascensor_vigi","depto","properati",160
"2163","A. BUFANO al 700",-34.6211015,-58.4660323,"ARS",32000,2,1,46,43,2021-09-07,6000,"https://www.properati.com.ar/detalle/3yu33_alquiler_departamento_flores_balcon_lavadero_luminoso_placard_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_lex-propiedades-sa_hlu5","depto","properati",46
"2164","Alicia Moreau de Justo 2000",-34.6219324371,-58.3651471138,"ARS",55000,2,1,46,,2021-09-07,8000,"https://www.properati.com.ar/detalle/3izs6_alquiler_departamento_puerto-madero_toilette_luminoso_lujoso_ciclovias-y-bicisendas-de-buenos-aires_adipa","depto","properati",46
"2165","Arenales 1600",-34.59506,-58.391356,"ARS",60000,3,2,67,62,2021-09-07,,"https://www.properati.com.ar/detalle/3yscu_alquiler_departamento_recoleta_balcon_lavadero_toilette_dependencias_placard_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_living_comedor_living-comedor_re-max-destino","depto","properati",67
